O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
O : [ 1 ouin <P33,L8> 
O : ah ouin ils font des moulures eux-autres/ <P33,L9> 
Y : ben c’est (.) c’est pas des moulures lui dans le fond là euh: (en hochant la tête négativement) [ 1 c’est une c’est comme une latte (en approchant et écartant ses mains l’une de l’autre comme pour représenter la latte dont il parle) c’est comme une planche pis c’est ben carré (en dessinant un carré devant lui comme pour montrer la forme de la moulure) (.) t’sais [ 2 il y a pas de rond (en traçant un demi-cercle avec sa main) (.) c’est ben carré là la moulure [ 3 est pas (en faisant un angle droit avec sa main) <P33,L10> 
O : [ 1 une planche qui passe <P33,L11> 
O : [ 2 ok ils ont tous u- <P33,L12> 
O : [ 3 ouais j’ai déjà vu [ 4 ce style-là <P33,L13> 
Y : [ 4 dans le bas des portes itou dans le bas des murs (en traçant une ligne devant lui comme pour représenter le bas des murs dont il parle) c’est ben carré c’est comme une planche qui fait ben carré (en traçant un angle droit avec sa main) <P33,L14> 
O : la maison qu’on avait spottée là (en inclinant la tête vers l’arrière comme pour désigner la maison dont il parle) la Jordan c’était ça t’sais [ 1 c’est carrément une planche de bois (en projetant son bras droit vers l’avant comme pour montrer la forme de la moulure) <P34,L1> 
Y : [ 1 (il hoche la tête affirmativement) <P34,L2> 
Y : ouin c’est ça <P34,L3> 
O : qui qui qui servait de moulure <P34,L4> 
S : <p<cibole>><P34,L5> 
Y : <p<c’est Cindy qui voulait ça ouin>> .) mais ça fait beau en ostie <P34,L6> 
O : parce que nous-autres nous-autres euh à part en bas là (en donnant des petits coups sur la table avec son index comme pour désigner le bas) toutes les moulures étaient déjà faites là (.) en haut la chambre pis tout ça là quand tu les coupes là [ 1 c’est long en câlique [ 2 pis là faut que ça fitte là <P34,L7> 
Y : [ 1 (il hoche la tête affirmativement) <P34,L8> 
Y : [ 2 ouin <P34,L9> 
Y : (il hoche la tête affirmativement) <P34,L10> 
O : quand la [ 1maison est droite quand la maison est droite [ 2 c’est pas pire itou là mais (.) quand qu’elle est croche là les coins arrivent pas tout [ 3 le temps égal (0:00:29.2) <P34,L11> 
Y : [ 1 ça te prend une bonne scie <P34,L12> 
Y : [ 2 ah oui c’est sûr <P34,L13> 
Y : [ 3 (RIRE) <P34,L14> 
Y : ah oui tu la retravailles un peu (.) moi elles étaient déjà tout coupées t’sais la maison est arrivée {il était;ils étaient} déjà {tout posé;tous posés} (en dessinant des coins dans les airs avec ses mains comme pour représenter les moulures dont il parle) (.) là en les démanchant (en tirant les bras vers lui comme s’il décrochait les moulures) je marque euh fenêtre telle [ 1 affaire (en passant son index gauche dans sa main droite comme s’il écrivait) <P34,L15> 
O : [ 1 <f<AH ils a:- ils arrivaient posées>> en haussant les sourcils et en s’avançant comme en signe de surprise) <P34,L16> 
Y : ouais ouais ils [ 1 s- <P34,L17> 
O : [ 1 pas pas au plancher par exemple (en donnant deux coups sur la table avec son index comme pour désigner le plancher) <P35,L1> 
Y : non non ben le plancher tu les as (en écartant les bras lui comme pour montrer l’étendue du plancher) (.) ça c’est pas si compliqué que ça là le plancher [ 1 (inaud.) <P35,L2> 
O : [ 1 ben eux-autres ils arrivent déjà coupés pareil <P35,L3> 
Y : hein/ (.) d- le tour des châssis pis des portes tout est déjà fait (en traçant une courbe dans les airs avec son index comme pour représenter un cadre de porte) tout est déjà coupé (.) [ 1 il y a rien que {(inaud.);le plancher} <P35,L4> 
O : [ 1mais le plancher il est pas po- moi le gars avec qui que je travaille le plancher était tout coupé (en donnant de petits coups secs sur la table comme pour insister sur ses propos) <P35,L5> 
Y : non non non (en hochant la tête négativement) <P35,L6> 
O : il disait que ça arrivait des fois il fallait qu’il donne un petit coup de lame (en passant verticalement sa main devant lui comme s’il coupait quelque chose) [ 1mais il avait tout était coupé déjà euh: mesuré d’avance [ 2 qu’est-ce que c’est suppo- (0:01:01.6) <P35,L7> 
Y : [ 1 non pas pour le plancher (en hochant la tête négativement) <P35,L8> 
Y : [ 2 ah pas avec RénovPro parce qu’i:l <P35,L9> 
O : lui il est avec {Jordanise;Jacques Delise;(inaud.)} <P35,L10> 
Y : <pp<ah {peut-être;(inaud.)}>> 1,1”) RénovPro il te les donne genre en:: en longues planches (en écartant ses bras devant lui comme pour montrer une mesure) c’est toi qui les {poses;(inaud.)} mais là (.) t’aimes autant de même quasiment <P35,L11> 
O : ben oui (.) parce que tu le sais pas ostie (.) eux-autres [ 1 i:ls ils en mettent à des places toi tu veux pas en mettre [ 2 ou <P35,L12> 
Y : [ 1 s- (il hoche la tête affirmativement) <P35,L13> 
Y : [ 2 ben c’est ça <P35,L14> 7”) Y : [ 1 (inaud.) <P35,L15> 
O : [ 1moi j’ai fini la banq- [ 2 (il met sa main devant sa bouche comme pour cacher un rot) <P36,L1> 
S : [ 2 <pp<crisse>> <P36,L2> 
O : j’ai fini ma banquette aujourd’hui (2”) ça va être capoté (.) mais {que:;que euh} mais qu’on fasse là (.) le trente et un là on veut faire un party là [ 1 ça va être comme (0:01:33.9) <P36,L3> 
Y : [ 1 la banquette au bout de (inaud.) (en pointant son pouce vers sa droite comme pour désigner l’endroit dont il parle) <P36,L4> 
O : ouin (en pointant son pouce vers sa droite comme pour désigner l’endroit dont il parle) <P36,L5> 
Y : (inaud.) la chambre de bain là/ <P36,L6> 
O : ouin <P36,L7> 
Y : (il hoche la tête affirmativement) <P36,L8> 
O : euh:: d’après moi il rentre quasiment huit personnes <P36,L9> 
Y : <p<hi [ 1 crisse>> il hoche la tête affirmativement) <P36,L10> 
O : [ 1 ben pas rien {que:;que euh:} banquette chaises là/ <P36,L11> 
Y : ouin (en hochant la tête affirmativement) [ 1 (il hoche la tête affirmativement) <P36,L12> 
O : [ 1 il va rentrer huit personnes sur la table itou <P36,L13> 
Y : ah ouin (en hochant la tête affirmativement) <P36,L14> 
O : l’autre table qu’on a achetée (en inclinant la tête vers la gauche comme pour désigner la table dont il parle) il rentre huit personnes là/ c’est [ 1 une table carrée <P36,L15> 
Y : [ 1 oui oui je l’ai vue une ostie de grosse table là (en hochant la tête affirmativement) <P36,L16> 
O : mai:s euh <P36,L17> 
S : <all<ça doit valoir cher ça>> <P36,L18> 
O : la table carrée/ (.) vaut moins cher (en levant le menton comme pour insister sur ses propos) que la table ici (en donnant un coup avec le bout de ses doigts sur la table) <P36,L19> 
S : <pp<{ah ouin;hum;hein}>> il lève la nappe pour regarder la table dont il est question) <P36,L20> 
O : ça ça doit être une affaire de quinze cents deux mille/ (0:02:01.3) <P37,L1> 
Y : {voyons donc;ben arrête} <P37,L2> 
O : ben eux-autres ils l’ont achetée chez euh: (en tapotant la table dont il parle et en fronçant les sourcils comme s’il cherchait le nom) <P37,L3> 
Y : ils l’ont pris à Bélanger <P37,L4> 
O : ouais c’est ça <P37,L5> 
Y : (il hoche la tête affirmativement) <P37,L6> 
O : mai:s [ 1 s- <P37,L7> 
Y : [ 1 non non on l’a pris à la même place nous-autres itou la nôtre pis euh oublie ça (.) c’est pas des affaires à quinze cents deux mille <P37,L8> 
O : ben c’est vrai [ 1 qu’eu:x-autres à Bélanger on (.) (en inclinant la tête vers l’arrière comme pour désigner l’endroit dont il parle et en fronçant les sourcils comme s’il voulait rectifier sa position) <P37,L9> 
Y : [ 1 (il hoche la tête négativement et pince les lèvres comme en signe de dénégation) <P37,L10> 
O : on avait été voir [ 1 une fois t’sais à Laval <P37,L11> 
Y : [ 1 {tu peux pas;(inaud.)} tu vas aller euh ouin [ 2 il y a des places <P37,L12> 
O : [ 2 il y a une affaire de meubles là [ 3 où c’est <P37,L13> 
Y :[ 3 Signature Mario Tétrault <p<{oui/;(inaud.)}>> <P37,L14> 
O : <f<non non non>> heille (en levant le menton comme en signe d’incrédulité) t’es-tu malade crisse [ 1 Signature Mario Tétrault <P37,L15> 
Y : [ 1 là tu là tu vas payer <P37,L16> 
O : euh: l’affaire de meubles là (en pointant par-dessus son épaule avec son pouce comme pour désigner l’endroit dont il parle) qui est vis-à-vis le nouveau Tim Hortons pis tout là (.) t’sais c’est comme une vieille grange là tu te demandes [ 1 qu’est-ce que ça fait là <P37,L17> 
Y : [ 1 ah ok ok [ 2 oui oui {c’est des affaires;(inaud.)} (en hochant la tête affirmativement) <P37,L18> 
O : [ 2 c’est c’est toutes des tables de même/ (en pointant devant lui comme pour désigner les tables dont il parle) <P37,L19> 
Y : (il hoche la tête affirmativement) ok <P38,L1> 
O : on y avait été un coup je pense la table la moins cher était à deux mille deux mille cinq cents piastres (2”) [ 1 j’ai regardé <P38,L2> 
S : [ 1 (inaud.) ça doit être des Jésus-Christ de tables par exemple/ <P38,L3> 
O : c’était euh: c’était des tables carrées pis des <P38,L4> 
Y : ouin mais [ 1 à un moment donné {elle est pas plus belle;(inaud.)} ouin c’est ça [ 2 (inaud.) c’est pas (en hochant la tête négativement) <P38,L5> 
S : [ 1 ben ordinaire/ <P38,L6> 
O : [ 2 <all<non non>> .) c’est parce que c’est le bois là (inaud.) elles étaient faites en érable ou en: (en haussant les épaules tout en les remuant légèrement comme pour exprimer qu’il s’agissait de bois meilleur et particulier) <P38,L7> 
S : pour [ 1 euh une table à pique-nique tabarnaque pis deux chaises au bout (en faisant un bruit d’explosion avec sa bouche comme pour signifier que c’est tout) <P38,L8> 
O : [ 1 je sais pas trop <P38,L9> 
Y : nous-autres [ 1 on l’a pris à:: même pas d’extension rien elle est de même straight (en faisant glisser sa main horizontalement au-dessus de la table comme pour représenter la simplicité de la table) [ 2 elle peut elle peut pas <P38,L10> 
S : [ 1 ostie (inaud.) (dit en riant) <P38,L11> 
O : [ 2 elle a une longueur <P38,L12> 
Y : elle a je pense cette longueur-là (en pointant la table) mais elle a pas {de:;de euh} (en donnant deux coups avec le tranchant de ses deux mains sur la table comme pour représenter les extensions dont il s’apprête à parler) d’extension [ 1 dans le milieu (.) elle est de même [tao] six chaises ça finit là (en levant sa main comme pour indiquer qu’il n’y a rien d’autre) (.) c’est fini ostie (.) t’sais comme une affaire de même (en touchant probablement le dossier d’une autre chaise, son bras se retrouve hors-champ) je trouve ça salissant ostie t’arrives (0:03:11.7) <P38,L13> 
O : [ 1 ouin <P38,L14> 
O : ben checke celle-là (en pointant la chaise à sa gauche) <P38,L15> 
Y : le dossier ouin c’est ça <P38,L16> 
S : ouais/ [ 1 elle s’al- elle s’allonge pas ta table/ <P38,L17> 
Y : [ 1 (inaud.) <P38,L18> 
Y : non (en hochant la tête négativement) elle reste straight de même (.) elle reste tout le temps à:: à cette longueur là à peu près (en écartant ses bras devant lui comme pour montrer la longueur de la table) <P39,L1> 
S : ah ouin <P39,L2> 
Y : ouin <P39,L3> 
O : ouin [ 1mais ça donne quoi qu’elle soit plus courte (dit en s’adressant à Yan) <P39,L4> 
S : [ 1 {si tu veux jouer;(inaud.) joue} aux cartes/ (dit en s’adressant à Yan) <P39,L5> 
Y : HEIN <P39,L6> 
S : si tu veux jouer aux cartes tu peux pas [ 1 (inaud.) <P39,L7> 
O : [ 1 ça se joue en masse <P39,L8> 
Y : [ 1 (inaud.) (.) ben oui tu te mets en coin c’est de même tu joues (en pointant les coins de la table les plus proches de la caméra) <P39,L9> 
S : <pp<{ah;hum;hein}>> <P39,L10> 
Y : [ 1 (inaud.) (en haussant une épaule comme pour exprimer une évidence) <P39,L11> 
O : [ 1 <f<parce que checke nous-autres la carrée est trop grande pour jouer aux cartes>> 0:03:31.2) <P39,L12> 
Y : ah oui c’est ça (en hochant la tête affirmativement) <P39,L13> 
O : c’est: v- tu vas être euh (en envoyant son bras droit vers l’avant comme s’il essayait avec difficulté de déposer ses cartes au centre de la table) (.) [ 1 la table {a;à} s- <P39,L14> 
Y : [ 1 (inaud.) <P39,L15> 
S : [ 1 ça marche plus là [ 2 le gars qui est sur le sens de la ligne ostie là les deux sont [ 3 sur le sens de la craque fait {que:;que euh} (en levant sa main verticalement comme pour représenter la ligne centrale de la table) <P39,L16> 
Y : [ 2 <f<tu veux jouer au (inaud.)>> <P39,L17> 
Y : [ 3 ouin ben là les deux sont [ 4 sur le sens de la ligne (.) ils ont les mêmes chances [ 5 ostie (dit en riant) <P39,L18> 
O : [ 4 ouin regarde (dit avec dérision) <P39,L19> 
S : [ 4 (RIRE) <P39,L20> 
S : [ 5CÂ:lisse [ 6 <p<je me suis fait fourrer ostie>> <P40,L1> 
Y : [ 6 quand tu pognes la: [ 7 deux sur le sens de la même [ 8 craque là (dit en riant) <P40,L2> 
O : [ 7 parce que mais qu- <P40,L3> 
S : [ 8 (RIRE) <P40,L4> 
O : mais [ 1 que tu mais que tu joues sur la banquette ou sur l’autre (en hochant la tête négativement) tu te r- il aura personne dans le sens de la craque <P40,L5> 
S : [ 1 les deux dans la craque (inaud.) <P40,L6> 
Y : [ 1 (RIRE) <P40,L7> 3,7”) O : non (.) il reste rie- heille on est allés acheter les foams t’sais [ 1 j’ai fait euh <P40,L8> 
Y : [ 1 c’est quoi t’as mis sur tes dossiers (en pointant le menton vers une des chaises autour de la table) t’as-tu fait recouvrir [ 2 ça pis tout (dit en s’adressant à Oscar) <P40,L9> 
O : [ 2 ben on est allés au il y a un club textile à:/ (en donnant un coup de tête vers l’arrière comme pour désigner l’endroit dont il parle) (0:04:02.9) <P40,L10> 
Y : ah tu t’es fait des coussins [ 1 pis tout (en hochant la tête affirmativement) <P40,L11> 
O : [ 1 on s’est f- ben euh ils sont pas faits encore [ 2 on est allés acheter les foams là (.) heille un foam de trois pouces là (en créant un espace entre son pouce et son index comme pour montrer une épaisseur) trois pieds par trois pieds/ (.) soixante piastres\ <P40,L12> 
Y : [ 2 (il hoche la tête affirmativement) <P40,L13> 
Y : voyons (en levant le menton comme en signe de surprise) (.) pas juste de l’affaire jaune là [ 1 de foam (en créant un espace entre son pouce et son index comme pour montrer une épaisseur) <P40,L14> 
O : [ 1 un foam là euh: (en créant un espace entre son pouce et son index comme pour montrer une épaisseur) <P40,L15> 
Y : le foam [ 1 comme {qu’il y a dans;que} la rembourrure (en pointant vers le sol comme pour désigner la mousse dont il parle) <P40,L16> 
O : [ 1 pour que tu vas t’assir dessus là/ (en se levant et se rassoyant en rebondissant comme pour représenter le moelleux de la mousse dont il parle) <P41,L1> 
Y : voyons (en levant le menton comme en signe d’incrédulité) t’as pas payé ça pour de vrai <P41,L2> 
O : ah oui t’as pas le choix [ 1 c’est c’est un foam fait [ 2 pour ça là (en créant un espace entre son pouce et son index comme pour montrer une épaisseur) <P41,L3> 
Y : [ 1 (inaud.) <P41,L4> 
Y : [ 2 (inaud.) ben oui mais c’est pas grave t’en as heille il y a des c’est ça qui: euh: (en appuyant sur le coussin de la chaise à sa droite) (.) ça c’est fourrer le monde ben raide man où c’est qu’ils en font là pis tout [ 3 tu vas aller chercher ça (inaud.) HEILLE (0:04:30.9) <P41,L5> 
O : [ 3AH ben c’est sûr ça doit coûter dix piastres même pas <P41,L6> 
Y : ouin pis tu vas avoir la grosseur de la table ostie [ 1 pour euh: (en pointant la table devant lui) <P41,L7> 
O : [ 1 parce qu’au début j’avais dit •on va acheter des coquilles d’œufs [ 2 pis des affaires de même° mais il aurait fallu mettre genre trois épaisseurs (en superposant ses mains comme pour représenter la superposition des coquilles d’œufs) [ 3 ça aurait fait des bosses pis (.) là-bas c’est des foams faits pour ça <P41,L8> 
Y : [ 2 (il hoche la tête affirmativement) <P41,L9> 
Y : [ 3 ok (en hochant la tête affirmativement) <P41,L10> 
Y : (il hoche la tête affirmativement) <P41,L11> 
O : <len<heille j’ai dit •CÂ:lique [ 1 ça monte vite en ostie°>> <P41,L12> 
Y : [ 1 (il hoche la tête négativement) <P41,L13> 
Y : (il incline la tête comme pour sympathiser) <P41,L14> 
O : pas grave [ 1mais la banquette <P41,L15> 
Y : [ 1 là il faut que tu le recouvres après ça [ 2 avec du tissu (.) [ 3 c’est toi qui vas faire ça/ <P41,L16> 
O : [ 2 ouais <P41,L17> 
O : [ 3 ben là <P41,L18> 
O : <all<ouais ouais ouais>> <P42,L1> 
Y : (il hoche la tête affirmativement) <P42,L2> 
O : avec une taqueuse en dessous [ 1 pis (en montant son poing comme s’il agrafait le tissu sous la mousse dont il parle) <P42,L3> 
Y : [ 1 ouin ouin (en hochant la tête affirmativement) <P42,L4> 
O : m’as essayer de mettre des clous euh pas plus qu’un pouce et demi/ parce que (en levant sa maincomme pour insister sur ses propos) (.) [ 1 t’sais après ça le monde (RIRE) le monde (RIRE) <P42,L5> 
S : [ 1 (inaud.) (dit en riant) (il se soulève de sa chaise et se rassoit comme pour mimer quelqu’un qui s’assoit sur la mousse dont ils parlent) <P42,L6> 
Y : [ 1 (inaud.) tu t’assis (en pointant son doigt vers le haut comme pour représenter les clous qui dépasseraient de la mousse) (RIRE) <f<le monde vont être assis [ 2moins longtemps>> dit en riant) (RIRE) <P42,L7> 
O : [ 2 <f<il y a rien que trois quart de bois [ 3 pis>> dit en riant) (RIRE) (0:05:01.8) <P42,L8> 
S : [ 3 •ayoye [ 4 tabarnaque° <P42,L9> 
Y : [ 4 <f<le monde vont être assis moins longtemps ostie>> dit en riant) <P42,L10> 
S : (inaud.) <P42,L11> 
Y : <f<un gars plus qu’il est pesant plus qu’il le sent ostie>> <P42,L12> 
S : {voyons;bon:} (en ramassant les bouteilles de bière vides qu’il vient de faire tomber) <P42,L13> 
Y : ostie <P42,L14> 2”) O : non ça devrait être p- ça devrait être pas si pire (.) non on avait demandé/ on avait demandé comment ça coutait pis la fille ben c’était pas la fille (en déplaçant sa main sur la table comme pour représenter le changement de mot) [ 1 la matante à ma blonde avait dit c’était deux mille piastres\ <P42,L15> 
S : [ 1 (RIRE) <P42,L16> 
Y : (il hoche la tête affirmativement) <P43,L1> 
O : faire faire la banquette là/ (en pointant sur la table comme pour insister sur ses propos) <P43,L2> 
Y : (il hoche la tête affirmativement) <P43,L3> 
O : pis là elle va nous revenir à cinq cents [ 1 (il hausse les sourcils comme pour insister sur le prix moindre) <P43,L4> 
Y : [ 1 ok [ 2 {ah;ouin} (en inclinant la tête comme pour exprimer son appréciation) (il incline la tête en pinçant les lèvres comme pour exprimer son appréciation) <P43,L5> 
O : [ 2 pis c’est moi qui l’a faite (en levant le bras comme pour insister sur ses propos) (il hausse les sourcils comme pour insister sur ses propos) <P43,L6> 
Y : (il hoche la tête affirmativement) <P43,L7> 1,6”) Y : [ 1 {ah ouais c’est sûr;en tout cas} <P43,L8> 
O : [ 1 pis ça a pris euh:: peut-être ben euh:: (0:05:31.6) <P43,L9> 
Y : il y a bien des affaires tu sauves quand [ 1 tu le fais toi-même là <P43,L10> 
O : [ 1 quinze vingt heures là [ 2mais <P43,L11> 
Y : [ 2 c’est du temps man mai:s [ 3 crisse que des fois tu sauves [ 4 de l’argent <P43,L12> 
O : [ 3 ah oui <P43,L13> 
O : [ 4 du temps pis des sacres pis [ 5 après ça <P43,L14> 
Y : [ 5 ah oui <P43,L15> 
Y : moi j’ai fini ma chambre de bain là la céramique là aujourd’hui là fini mon coulis ah c’était (il hoche la tête négativement) j’étais à bout (RIRE) heille NON mais tout le temps [ 1 que j’ai mis dans cette câlisse de chambre de bain là là (en donnant des petits coups sur la table avec son doigt comme pour insister sur ses propos) (.) c’est sûr que je l’ai pas cou- que ça m’aurait coûté euh: elle m’aurait coûté cher [ 2 à faire faire là (en hochant la tête affirmativement) mais <pp<en tout cas>> .) pis là c’est de la marde euh: tu sauves mais faut que tu sois taponneux t’sais il y en a plusieurs qui: taponnent pas pantoute mais (0:05:59.7) <P43,L16> 
O : [ 1 ah t’as du racoin en ostie/ là-dedans (en levant le menton comme pour attirer l’attention sur ses propos) <P44,L1> 
O : [ 2 regarde <P44,L2> 
O : pis c’est en le faisant que t’apprends à le faire {là;hein} <P44,L3> 
Y : ouin mais quand que ça va me resservir c’est quand (en levant le menton vers Oscar comme pour solliciter une réponse) je vais en refaire de la céramique/ <P44,L4> 
S : (RIRE) <P44,L5> 
Y : jamais/ <P44,L6> 
S : [ 1 chez nous <P44,L7> 
O : [ 1 tu [ 2 le sais pas (en haussant les sourcils comme pour insister sur ses propos) tu le sais pas tu le [ 3 sais pas <P44,L8> 
Y : [ 2 ben jamais (dit comme s’il voulait apporter une nuance) je vas <P44,L9> 
S : [ 3 chez nous (RIRE) [ 4 (RIRE) <P44,L10> 
Y : [ 4 chez vous/ (dit en riant) <P44,L11> 
S : (RIRE) <P44,L12> 
Y : ça va te coûter cher de bière (en inclinant la tête et en haussant les sourcils comme pour insister sur ses propos) mon homme {je te juge;(inaud.)} (RIRE) <P44,L13> 
O : c’est pas [ 1 grave [ 2 c’est rien que de la bière <P44,L14> 
S : [ 1 si c’est rien que ça <P44,L15> 
Y : [ 2 (inaud.) ouin c’est ça qui arrive (.) moi j’ai pas payé de salaire mais c’est rien que de la bière c’est pas cher <P44,L16> 
O : mon père ce mois-ci [ 1 il dit qu’il a au-dessus de deux mille pieds carrés de céramique de posée <P44,L17> 
Y : [ 1 c’est pas cher/ <P44,L18> 
Y : ah ouin <P44,L19> 
O : i:l (dit en riant) est à bout <P44,L20> 
Y : crisse (.) lui quand qu’il en pose là il arrive-tu avec toutes ses affaires (.) moi là [ 1mon: (en pointant du doigt vers le côté comme pour désigner l’endroit dont il veut parler) (0:06:31.6) <P45,L1> 
O : [ 1 il y a pas grand affaires mon père (en hochant la tête négativement) <P45,L2> 
Y : ben une scie pi:s <P45,L3> 
O : il y a la petite scie à: [ 1mitaine/ (en avançant et reculant son bras comme s’il sciait quelque chose) <P45,L4> 
Y : [ 1 (il hoche la tête affirmativement) ouin <P45,L5> 
O : il a son {disque;dix} sur le buffer (en comptant sur ses doigts) <P45,L6> 
Y : (il hoche la tête affirmativement) <P45,L7> 
O : pis il a un banc de scie pour ça (en formant un rectangle avec ses mains comme pour représenter la forme du banc de scie) mais il le prend pas <P45,L8> 
Y : ok <P45,L9> 
O : à cause c’est un banc de scie euh: <P45,L10> 
Y : à l’eau pis tout là/ <P45,L11> 
O : ouin mais c’est un banc de scie a: artisanal là/ <P45,L12> 
Y : ok (en hochant la tête affirmativement) <P45,L13> 
O : ça prend deux deux personnes pour le sortir de la cave <P45,L14> 
Y : hi crisse ok <P45,L15> 
O : t’sais c’est un vrai moteur électrique (dit en riant et en traçant des cercles avec son index comme pour représenter le mouvement du moteur) <P45,L16> 
Y : parce que moi je vas voir mais qu’il change le comptoir j’aurai peut-être ben pas le temps m’as lui demander qu’il fasse ma: ma céramique (en déplaçant son index horizontalement en direction du comptoir comme pour représenter la céramique qui recouvre un comptoir) en en dessous des armoires là/ (en pointant les armoires de la cuisine) <P45,L17> 
O : (il hoche la tête affirmativement) <P45,L18> 
Y : (il hoche la tête affirmativement) là je suis écœuré j’aurai pas le temps de faire ça ben ben (0:07:02.3) <P45,L19> 
O : ah pis ça se fait vite ça <P45,L20> 
Y : j’ai déjà tou- j’ai déjà ma céramique j’ai tout le stock rien que le gars euh (en haussant une épaule comme pour exprimer son impuissance) [ 1 (il lève le menton comme pour désigner le gars dont il parle) si ça lui prend deux jours ostie <P46,L1> 
O : [ 1 ah oui ça se fait vite <P46,L2> 
O : <all<ça prendra pas deux jours>> <P46,L3> 
Y : une [ 1 journée (en inclinant la tête comme en signe de concession) <P46,L4> 
O : [ 1 il a fait il a fait [ 2 chez nous <P46,L5> 
Y : [ 2 non mais c’est parce que la jou- la même journée tu peux refaire (dit en pointant vers la table comme pour insister sur ses propos) le coulis t’sais <P46,L6> 
O : ben moi heille checke chez nous/ là/ (en donnant des petits coups sur la table avec l’index comme pour insister sur ses propos) <P46,L7> 
Y : (il hoche la tête affirmativement) <P46,L8> 
O : ça a pris euh: il a commencé mettons à hui- neuf heures (en donnant un premier coup sur la table avec le tranchant de sa main comme pour indiquer le début de la période) le matin/ à midi (en donnant un second coup sur la table avec le tranchant sa main comme pour indiquer la fin de la période) il avait fini <P46,L9> 
Y : ouin c’est ça là il faut qu’il revienne le lendemain (en pointant le doigt devant lui comme pour exprimer un moment futur) <P46,L10> 
O : il a non il est revenu à fin de l’après-midi [ 1 on avait notre coulis euh: [ 2 fin de l’après <P46,L11> 
Y : [ 1 pour faire le coulis (en levant le menton comme en signe d’incrédulité) <P46,L12> 
Y : [ 2 la même journée/ <P46,L13> 
O : ah oui oui oui <P46,L14> 
Y : hi crisse ok (en hochant la tête affirmativement) (.) [ 1 {hi crisse;ils disent} (en inclinant la tête comme en signe d’incrédulité) <P46,L15> 
O : [ 1 <ff<le couLIS c’est pas long [ 2 le coulis regarde euh>> en hochant la tête négativement) <P46,L16> 
Y : [ 2 <f<non non je le sais ben mais [ 3 ils disent d’attendre au moins vingt-quatre heures>> avant que ça [ 4 pour que le pour que le ciment-colle i::l sèche (0:07:36.3) <P46,L17> 
O : [ 3 <ff<le coulis ça prend une demi-heure quarante-c->> <P47,L1> 
O : [ 4 ça dépend ça dépend de la colle (en arrondissant la paume de sa main comme s’il tenait quelque chose) <P47,L2> 
O : ça dépend rien que de la colle <p<t’sais>> <P47,L3> 
Y : (il hoche la tête affirmativement) <P47,L4> 
O : [ 1 (inaud.) <P47,L5> 
Y : [ 1 toi c’ét- c’était pas du ciment là t’avais le pot de colle [ 2 dans le fond (en joignant les doigts de ses deux mains comme pour représenter le pot de colle dont il parle) <P47,L6> 
O : [ 2 ouais <P47,L7> 
Y : ouin c’est ça (.) peut-être ben ça sèche plus vite là <P47,L8> 
O : ben i:l [ 1 i:l i:l ciment-colle i:l c’est tu checkeras il doit pas être écrit que tu peux le faire sur les murs (en donnant de petits coups sur la table avec son doigt comme pour insister sur ses propos) <P47,L9> 
Y : [ 1 parce que du ciment-colle là que tu (en joignant les doigts de ses deux mains comme pour représenter le pot de colle dont il parle) <P47,L10> 
Y : non je pense pas c’est pas fait pour [ 1 {faire sur les murs;(inaud.)} (en hochant la tête négativement) <P47,L11> 
O : [ 1 ça te prend une colle [ 2 pour ça mais si <P47,L12> 
Y : [ 2 ouin c’est ça j’ai j’ai c’est comme une [ 3 chaudière là <P47,L13> 
O : [ 3 ok tu en as une <P47,L14> 
Y : ouin <P47,L15> 
O : parce que j’allais dire [ 1 nous-autres euh mon père il avait des restants on en a acheté une pis elle est encore flambant neuve <P47,L16> 
Y : [ 1 c’est ça <P47,L17> 1,7”) O : non ça aide {le;heille} le pire c’est de faire les petits [ 1 racoins où c’est les les les cache-néons (en plaçant sa main en forme d’étrier vers le haut comme pour représenter la forme des racoins) toi/ les cache-néons sont-tu accotés au mur/ (en pointant vers le haut comme pour désigner les cache-néons dont il parle) (0:08:08.8) <P47,L18> 
Y : [ 1 <p<ah oui ça c’est pas>> il hoche la tête affirmativement) <P48,L1> 
Y : euh: oui (en hochant la tête affirmativement) <P48,L2> 
O : ok nous-autres moi le gars il avait laissé trois huit (en créant un espace entre son pouce et son index comme pour montrer la mesure dont il parle) fait que la tuile passait en dessous (en montant ses deux bras vers le haut, les mains fermées, comme pour mimer l’installation des tuiles) <P48,L3> 
Y : ok ok ok (en hochant la tête affirmativement) <P48,L4> 
O : [ 1 fait qu’il y avait moins de découpage à faire <P48,L5> 
Y : [ 1 (il hoche la tête affirmativement) <P48,L6> 
O : mais [ 1 couper les petits racoins {sont fits;sont faits;(inaud.)} <P48,L7> 
Y : [ 1moi c’est la: la hotte de poêle la hotte de poêle il l’a-tu enlevée là/ (en montrant la hotte de la cuisine où ils se trouvent) <P48,L8> 
O : nous-autres c’est un micro-ondes <P48,L9> 
Y : ah c’est vrai toi t- d- elle est pas là pantoute là (en hochant la tête négativement) c- ouin c’est ça <P48,L10> 
O : ben il a il a suivi la ligne (en traçant une ligne avec sa main à la hauteur de ses yeux) (0:08:27.7) <P48,L11> 
Y : ouin ouin (2,5”) ouin c’est ça moi il va falloir je pense j’enlève mon fan ostie pis euh (.) hi crisse (.) de l’ouvrage <P48,L12> 
